# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs1553265924	156136438	single nucleotide variant	LMNA and 1 more	splice donor variant,,	pathogenic				
rs267607600	156136919	single nucleotide variant	LMNA and 2 more	splice acceptor variant,	pathogenic				
rs61282106	156136934	single nucleotide variant	LMNA and 1 more	,missense variant,	pathogenic				10739751,23243001,25741868
rs794728613	156136941	single nucleotide variant	LMNA and 1 more	,nonsense (stop gained),	pathogenic				
rs28928902	156136951	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic			T=2.56183e-05	12768443,18348272
rs267607578	156136952	single nucleotide variant	LMNA and 3 more	,missense variant,	pathogenic				18585512,18646565,20160190,22177269,23183350,24033266,24375749,24503780,24623722,26467025
rs2102893828	156136954	single nucleotide variant	LMNA and 1 more	,nonsense (stop gained),	pathogenic				
rs57920071	156136984	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic				10655060,11344241,25524705,25741868,31194872
rs11575937	156136985	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic			A=8.32404e-06	10587585,10655060,10739751,10810087,10868844,10999791,10999845,11078466,11136544,11792809,16181372,16415042,18414213,18728124,19011997,19201734,22700598,23313286,23427149,24033266,25741868,26662654,31194872
rs59981161	156136998	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic				25741868
rs56699480	156137017	single nucleotide variant	LMNA and 1 more	,nonsense (stop gained),	pathogenic				17136397
rs1553266048	156137018	single nucleotide variant	LMNA and 1 more	,missense variant,	pathogenic				
rs267607640	156137029	single nucleotide variant	LMNA and 2 more	splice donor variant,	pathogenic				20848652
rs267607543	156137033	single nucleotide variant	LMNA and 2 more	intron variant,	pathogenic				16636128,25741868
rs57730570	156137118	single nucleotide variant	LMNA and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs879254082	156137164	single nucleotide variant	LMNA and 1 more	,missense variant,	pathogenic				
rs1572366412	156137165	single nucleotide variant	LMNA and 1 more	,nonsense (stop gained),	pathogenic				
rs2102895466	156137166	single nucleotide variant	LMNA and 1 more	,nonsense (stop gained),	pathogenic				
rs267607557	156137182	single nucleotide variant	LMNA and 3 more	,missense variant,	pathogenic				
rs58362413	156137183	single nucleotide variant	LMNA and 2 more	,missense variant,nonsense (stop gained),	pathogenic				
rs794728595	156137184	single nucleotide variant	LMNA and 3 more	,missense variant,nonsense (stop gained),	pathogenic				
rs149339264	156137190	single nucleotide variant	LMNA and 2 more	,nonsense (stop gained),synonymous variant,	pathogenic	T=0.00239617		T=0.000684912	18414213,24033266
rs57318642	156137203	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic				12768443,18796515,19432833,23497705,25286833
rs57520892	156137204	single nucleotide variant	LMNA and 3 more	,missense variant,	pathogenic			A=6.83223e-05	10080180,12075506,12196663,12788894,14627682,17848409,19084400,19764019,27930701
rs1187380696	156137206	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic				
rs57629361	156137207	single nucleotide variant	LMNA and 3 more	,missense variant,	pathogenic				1849984,10739764,10939567,11792809,11901143,14659775,14684700,17377071,18414213,20848652,20980393,21173262,23427149,24642510,26467025
rs121912494	156137209	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic				17935239
rs60580541	156137210	single nucleotide variant	LMNA and 1 more	,missense variant,	pathogenic				12784312,15998779
rs780302064	156137212	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic			G=1.8989e-05	18414213
rs60934003	156137213	single nucleotide variant	LMNA and 1 more	,missense variant,	pathogenic				10080180
rs267607592	156137233	single nucleotide variant	LMNA and 1 more	splice donor variant,	pathogenic				15678000,19446900,24033266
rs2102896324	156137234	single nucleotide variant	LMNA and 2 more	splice donor variant,	pathogenic				
rs267607539	156137237	single nucleotide variant	LMNA and 2 more	intron variant,	pathogenic				10814726
rs267607582	156137642	single nucleotide variant	LMNA and 2 more	intron variant,	pathogenic				15996213,18611980
rs267607581	156137651	single nucleotide variant	LMNA and 1 more	intron variant,	pathogenic				8621584,18414213,18714801,24033266
rs267607547	156137664	single nucleotide variant	LMNA and 2 more	,missense variant,intron variant,	pathogenic				18414213,24639906
rs483352811	156137665	single nucleotide variant	LMNA and 1 more	,missense variant,intron variant,	pathogenic				26602028
rs56984562	156137666	single nucleotide variant	LMNA and 3 more	,missense variant,intron variant,	pathogenic				14675861,15372542,18031519,19167105,21085127,24033266,26467025
rs61444459	156137667	single nucleotide variant	LMNA and 2 more	,missense variant,intron variant,	pathogenic			A=9.35016e-05	14684700,16965317,18564364,18646565,23183350,24033266,24375749,25741868,31194872
rs56673169	156137671	single nucleotide variant	LMNA and 1 more	,missense variant,intron variant,	pathogenic				15286156
rs267607613	156137678	single nucleotide variant	LMNA and 2 more	,missense variant,intron variant,	pathogenic				24033266
rs142191737	156137679	single nucleotide variant	LMNA and 2 more	,missense variant,intron variant,	pathogenic	A=0.000199681		A=0.000185408	23183350,24033266,25741868
rs80338938	156137756	single nucleotide variant	LMNA and 3 more	,missense variant,intron variant,	pathogenic				10580070,20301717
rs60890628	156138507	single nucleotide variant	LMNA and 2 more	,missense variant,nonsense (stop gained),	pathogenic			T=0.000105534	12628721,16278265,16809772,17250669,17377071,18926329,24033266
rs918645468	156138533	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic				
rs57830985	156138534	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic	A=0.000199681		A=0.0	10739751,11231979,24297550
rs59601651	156138537	single nucleotide variant	LMNA and 2 more	,missense variant,	pathogenic			T=9.32662e-06	15298354,24033266
rs769561386	156138575	single nucleotide variant	LMNA and 1 more	,missense variant,	pathogenic			A=2.72941e-05	18414213
rs59886214	156138610	single nucleotide variant	LMNA and 1 more	,intron variant,synonymous variant,	pathogenic				17469202
rs61064130	156138611	single nucleotide variant	LMNA and 2 more	,missense variant,intron variant,	pathogenic				12714972,12768443
rs58596362	156138613	single nucleotide variant	LMNA and 2 more	,intron variant,synonymous variant,	pathogenic				12702809,12714972,12768443,15032975,15184648,15317753,15342704,15793835,16126733,16738054,17076270,17469202,18414213,19172989,23757202
rs797044487	156138757	single nucleotide variant	LMNA and 1 more	,intron variant,synonymous variant,	pathogenic				15317753,22065502,25649378
rs113436208	156138758	single nucleotide variant	LMNA and 2 more	splice donor variant,intron variant,	pathogenic				15317753,17469202,25649378
rs797044488	156138762	single nucleotide variant	LMNA and 2 more	intron variant,	pathogenic				15317753,22065502,25649378
rs1249149946	156162945	single nucleotide variant	SEMA4A and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs267607033	156162993	single nucleotide variant	SEMA4A and 1 more	,missense variant	pathogenic				16199541
rs267607034	156163009	single nucleotide variant	SEMA4A and 1 more	,missense variant	pathogenic				16199541
rs765587923	156591932	single nucleotide variant	NAXE and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs371872027	156591981	single nucleotide variant	NAXE and 2 more	,nonsense (stop gained),synonymous variant	pathogenic			T=1.75276e-05	27616477
rs1178037334	156592102	single nucleotide variant	NAXE and 1 more	,nonsense (stop gained)	pathogenic				
rs759251812	156592114	single nucleotide variant	NAXE and 1 more	,nonsense (stop gained)	pathogenic			T=3.29957e-05	27616477
rs2102489248	156592180	single nucleotide variant	NAXE and 2 more	,missense variant	pathogenic				
rs879255647	156592199	single nucleotide variant	NAXE and 1 more	,missense variant	pathogenic				27122014
rs139093330	156592671	single nucleotide variant	NAXE and 1 more	splice donor variant	pathogenic			A=8.36386e-06	27616477
rs572486885	156593431	single nucleotide variant	NAXE and 2 more	,nonsense (stop gained),synonymous variant	pathogenic	G=0.000199681			
rs1677398842	156593456	single nucleotide variant	NAXE and 1 more	,missense variant	pathogenic				
rs886041064	156593544	single nucleotide variant	NAXE and 1 more	,missense variant	pathogenic				27616477
rs1655612629	156860935	single nucleotide variant	INSRR and 5 more	,missense variant,intron variant,2KB upstream variant,	pathogenic				
rs80356673	156860959	single nucleotide variant	INSRR and 5 more	,missense variant,nonsense (stop gained),intron variant,2KB upstream variant,	pathogenic				10330344,11159935,20301726
rs2102885178	156864367	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2102885187	156864370	single nucleotide variant	NTRK1 and 1 more	,nonsense (stop gained)	pathogenic				
rs543320028	156864394	single nucleotide variant	NTRK1 and 2 more	,missense variant	pathogenic	A=0.000199681			
rs1655828678	156864415	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs747976486	156866946	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs370483210	156866974	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=3.29457e-05	
rs748672380	156868103	single nucleotide variant	NTRK1 and 3 more	splice acceptor variant	pathogenic			A=8.2616e-06	
rs1647277529	156868153	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs879253889	156868201	single nucleotide variant	NTRK1 and 1 more	,nonsense (stop gained)	pathogenic				
rs1571689751	156868213	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1232901259	156868250	single nucleotide variant	NTRK1 and 2 more	splice donor variant	pathogenic				
rs2102894271	156868525	single nucleotide variant	NTRK1 and 1 more	,nonsense (stop gained)	pathogenic				
rs606231466	156868651	single nucleotide variant	NTRK1 and 1 more	intron variant	pathogenic				25359976
rs1647569895	156871756	single nucleotide variant	NTRK1 and 2 more	splice donor variant	pathogenic				
rs80356674	156873600	single nucleotide variant	NTRK1 and 2 more	intron variant	pathogenic			A=3.35435e-05	11748840,20301726,25356970
rs993479544	156873704	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs121964869	156873858	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic				77656,3472625,11310631,12210794
rs764771898	156875009	single nucleotide variant	NTRK1 and 3 more	splice donor variant	pathogenic			T=8.25423e-06	
rs139731614	156875603	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic			A=8.24443e-06	
rs879253890	156875609	single nucleotide variant	NTRK1 and 1 more	,nonsense (stop gained)	pathogenic				
rs1571699664	156876399	single nucleotide variant	NTRK1 and 3 more	splice acceptor variant	pathogenic				
rs121964866	156876496	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic			A=3.4002e-05	8696348
rs150579345	156876508	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic			A=0.000171641	
rs121964870	156876526	single nucleotide variant	NTRK1 and 2 more	,missense variant	pathogenic				10233776,12406349
rs2102919917	156876540	single nucleotide variant	NTRK1 and 3 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs763758904	156876571	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic				
rs1647932465	156876572	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic				
rs6336	156879126	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic	T=0.024361		T=0.0425262	10330344,10443680,10861667,11159935,17212826,18270328,18780967,19435634,20301726,21317683,28127926
rs6339	156879154	single nucleotide variant	NTRK1 and 1 more	,missense variant	pathogenic	T=0.0229633		T=0.0424037	10330344,10443680,10861667,11159935,17212826,18270328,20301726,30738251
rs149663928	156879159	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1381516878	156879192	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs369353892	156879261	single nucleotide variant	NTRK1 and 3 more	,missense variant,synonymous variant	pathogenic				
rs764992664	156879276	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic			T=8.25573e-06	
rs1310506980	156879297	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs914061514	156879365	single nucleotide variant	NTRK1 and 2 more	intron variant	pathogenic				
rs761967383	156880026	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic			T=2.49784e-05	
rs1648162011	156880030	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs121964868	156880036	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic				10861667
rs1393272944	156880085	single nucleotide variant	NTRK1 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs770727871	156880092	single nucleotide variant	NTRK1 and 2 more	,missense variant	pathogenic			A=8.26624e-06	
rs763122825	156880122	single nucleotide variant	NTRK1 and 2 more	,missense variant	pathogenic			A=1.65191e-05	
rs2102930678	156881484	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic				
rs756981419	156881554	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic			T=2.71128e-05	
rs764816792	156881559	single nucleotide variant	NTRK1 and 3 more	,missense variant,nonsense (stop gained)	pathogenic			T=1.26926e-05	
rs1324983370	156881562	single nucleotide variant	NTRK1 and 3 more	,missense variant	pathogenic				
rs35669708	156881590	single nucleotide variant	NTRK1 and 2 more	,missense variant	pathogenic	A=0.00379393			10090906,25741868
rs764090370	158091403	single nucleotide variant	KIRREL1 and 1 more	,missense variant	pathogenic			T=8.24008e-06	
rs139995772	158093761	single nucleotide variant	KIRREL1 and 1 more	,missense variant	pathogenic	T=0.000998403		T=0.000759118	
rs779537034	158615205	single nucleotide variant	SPTA1 and 2 more	intron variant,	pathogenic			A=8.28473e-06	
rs1383401833	158620252	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),,	pathogenic				
rs886041244	158623153	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				
rs1650918653	158634578	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				
rs763899069	158635959	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,3 prime UTR variant,	pathogenic			A=8.28597e-06	
rs753849540	158636670	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic			A=8.28404e-06	
rs2526378629	158636706	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				
rs754614154	158636763	single nucleotide variant	SPTA1 and 2 more	splice acceptor variant,	pathogenic			G=8.28954e-06	8941647
rs1394141324	158639587	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,	pathogenic				
rs777656764	158642497	single nucleotide variant	SPTA1 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant,	pathogenic				
rs761765384	158642534	single nucleotide variant	SPTA1 and 3 more	,nonsense (stop gained),nc transcript variant,synonymous variant,	pathogenic			A=8.30924e-06	
rs1172797322	158642816	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant,	pathogenic				
rs1651716612	158642900	single nucleotide variant	SPTA1 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant,,	pathogenic				
rs2525027053	158642977	single nucleotide variant	SPTA1 and 1 more	splice acceptor variant,,	pathogenic				
rs376552785	158643356	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant,3 prime UTR variant	pathogenic			T=9.95834e-05	
rs200830867	158643524	single nucleotide variant	SPTA1 and 3 more	intron variant	pathogenic	A=0.000798722			
rs866240607	158644390	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs1652094925	158647612	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs2101857591	158651366	single nucleotide variant	SPTA1 and 1 more	splice donor variant	pathogenic				
rs1553231217	158652551	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic				
rs1557961718	158653269	single nucleotide variant	SPTA1 and 1 more	intron variant	pathogenic				
rs1652590413	158653299	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic				
rs762088983	158653323	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic			C=1.65659e-05	
rs35948326	158654738	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant	pathogenic	T=0.0141773		T=0.0327293	3785322,8370581,24033266,25741868
rs1652848700	158656644	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs757147440	158656669	single nucleotide variant	SPTA1 and 2 more	intron variant	pathogenic			G=8.28775e-06	2346729,6236232,7074218,9192783,9746802
rs755630903	158657611	single nucleotide variant	SPTA1 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant	pathogenic				
rs757845058	158657623	single nucleotide variant	SPTA1 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant	pathogenic			A=1.6562e-05	
rs201844450	158661368	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic			C=0.000198778	
rs863223305	158661410	single nucleotide variant	SPTA1 and 1 more	splice acceptor variant	pathogenic				2895677,8490186
rs1236696892	158662702	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic				
rs2022057	158662813	single nucleotide variant	SPTA1 and 3 more	,missense variant,nonsense (stop gained),nc transcript variant,synonymous variant	pathogenic	T=0.0133786		T=0.0043027	
rs751026146	158662846	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic			A=8.28995e-06	
rs2525200720	158662847	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs1653612721	158666483	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic				
rs2525241090	158668029	single nucleotide variant	SPTA1 and 2 more	,missense variant,nonsense (stop gained),nc transcript variant	pathogenic				
rs1035389616	158669407	single nucleotide variant	SPTA1 and 1 more	splice donor variant	pathogenic				
rs2525252642	158669451	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs121918635	158672135	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant	pathogenic				2794061,3597773
rs1354777824	158674668	single nucleotide variant	SPTA1 and 2 more	,nonsense (stop gained),nc transcript variant,synonymous variant	pathogenic				
rs2525311821	158676198	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs121918636	158678432	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant	pathogenic	G=0.000199681		G=1.65843e-05	2794061,3597773
rs2101942740	158680601	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs121918643	158680641	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant	pathogenic	G=0.000599042		G=8.28514e-05	1191563,1541680,8444470,16150946
rs1402383909	158681526	single nucleotide variant	SPTA1 and 1 more	splice donor variant	pathogenic				
rs1654812809	158681577	single nucleotide variant	SPTA1 and 1 more	,nonsense (stop gained),nc transcript variant	pathogenic				
rs373695294	158685194	single nucleotide variant	SPTA1 and 2 more	,nonsense (stop gained),nc transcript variant,intron variant,synonymous variant	pathogenic				
rs121918639	158685227	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant,intron variant	pathogenic				2384601,2568861
rs121918644	158685229	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant,intron variant	pathogenic			C=3.31994e-05	1845156
rs121918637	158685237	single nucleotide variant	SPTA1 and 1 more	,missense variant,nc transcript variant,intron variant	pathogenic				2568862
rs121918640	158685251	single nucleotide variant	SPTA1 and 3 more	,missense variant,nc transcript variant,intron variant,synonymous variant	pathogenic	T=0.000399361			2568861
rs121918641	158685289	single nucleotide variant	SPTA1 and 2 more	,missense variant,nc transcript variant,5 prime UTR variant	pathogenic	T=0.000399361		T=2.48509e-05	1679439,2043465,2328319,3692477
rs121918642	158685290	single nucleotide variant	SPTA1 and 3 more	,missense variant,nc transcript variant,5 prime UTR variant	pathogenic				1679439,1845156,8435324
rs772644757	158686493	single nucleotide variant	SPTA1 and 2 more	splice donor variant	pathogenic			T=8.30261e-06	
rs2814778	159204893	single nucleotide variant	ACKR1 and 2 more	5 prime UTR variant	pathogenic	C=0.266374			7663520,8547665,8651934,10570183,10791881,15660291,16685648,17069770,17185388,17304246,17622222,18179887,18213616,18248572,18621010,18654799,18710383,18827265,19180233,19369910,19593725,19620399,19737746,19758966,20021678,20393453,20932074,20978399,21153663,21160409,21257350,21273692,21445957,21498954,21507922,21592109,21611176,21738479,21738480,21754915,21867552,21976407,22037903,22073278,22075330,22510366,22615793,22957039,23144702,23316245,24896259,24934404,25884002,26052389,26215182,26314886,27092142,27535653,27711207,28151395,28553950,28587995,29596498,29879116,30009277,30592023,30647433,31356281,31551092,31872004,32959868,33184016,33877261,33927264,34180972,35176104,35724382,36376015,37778719
rs34599082	159205704	single nucleotide variant	ACKR1 and 3 more	,missense variant	pathogenic	T=0.00459265		T=0.0107248	8547665,9399903,9731074,9746760,9886340,11369664,21257350,28151395,31551092,37778719
rs201144590	159880691	single nucleotide variant	CFAP45 and 2 more	,missense variant,nonsense (stop gained)	pathogenic			A=0.000140447	
rs2101847449	159886557	single nucleotide variant	CFAP45 and 1 more	,nonsense (stop gained)	pathogenic				
rs587776528	160032009	single nucleotide variant	PIGM and 2 more	2KB upstream variant,	pathogenic				16767100,17442906
rs137853071	160041644	single nucleotide variant	KCNJ10 and 2 more	,missense variant	pathogenic				19289823,20807765,21849804
rs1404425302	160041907	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic				
rs1571265496	160041932	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic				
rs137853067	160041938	single nucleotide variant	KCNJ10 and 1 more	,nonsense (stop gained)	pathogenic				19289823,20651251
rs137853073	160041952	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic				19426954
rs137853070	160042033	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic				19289823,20807765
rs137853069	160042042	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic				19289823,20807765
rs137853068	160042115	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic				19289823,20807765
rs1288297948	160042157	single nucleotide variant	KCNJ10 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2525430986	160042297	single nucleotide variant	KCNJ10 and 1 more	,nonsense (stop gained)	pathogenic				
rs757159382	160042308	single nucleotide variant	KCNJ10 and 2 more	,missense variant,synonymous variant	pathogenic			G=1.65341e-05	25741868
rs137853066	160042339	single nucleotide variant	KCNJ10 and 2 more	,missense variant	pathogenic			T=1.65256e-05	19289823,19420365,20651251,20807765
rs759993423	160042354	single nucleotide variant	KCNJ10 and 1 more	,missense variant	pathogenic			G=8.25437e-06	
rs869025341	160124371	single nucleotide variant	ATP1A2 and 1 more	,missense variant,	pathogenic				25138102
rs2524857474	160124405	single nucleotide variant	ATP1A2 and 2 more	,missense variant,	pathogenic				
rs2524859328	160125164	single nucleotide variant	ATP1A2 and 1 more	,missense variant,	pathogenic				
rs777400961	160127591	single nucleotide variant	ATP1A2 and 2 more	,missense variant,,	pathogenic			A=8.24674e-06	
rs121918617	160127660	single nucleotide variant	ATP1A2 and 1 more	,missense variant,,	pathogenic				17473835
rs1553244746	160127682	single nucleotide variant	ATP1A2 and 1 more	,missense variant,,	pathogenic				
rs181618883	160127692	single nucleotide variant	ATP1A2 and 1 more	,missense variant,,	pathogenic	A=0.000199681		A=8.23805e-06	
rs121918612	160127704	single nucleotide variant	ATP1A2 and 1 more	,missense variant,,	pathogenic				15459825
rs1570987954	160127773	single nucleotide variant	ATP1A2 and 2 more	,missense variant,,	pathogenic				
rs1236883845	160127791	single nucleotide variant	ATP1A2 and 1 more	,missense variant,,	pathogenic				
rs2524865640	160127794	single nucleotide variant	ATP1A2 and 1 more	,missense variant,,	pathogenic				
rs1057521630	160128656	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic				
rs1553244875	160128662	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs121918613	160128667	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				15133718,15308625,22117059
rs1553244881	160128725	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs1057518514	160128731	single nucleotide variant	ATP1A2 and 3 more	,missense variant	pathogenic				
rs121918620	160128761	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic			T=8.23642e-06	17952365
rs2524868153	160128764	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs28934002	160128767	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic				14667076,15174025,15286158
rs765909830	160128782	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic			A=8.23642e-06	
rs760155608	160128997	single nucleotide variant	ATP1A2 and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			T=1.31106e-05	
rs1165052640	160129024	single nucleotide variant	ATP1A2 and 1 more	,nonsense (stop gained)	pathogenic				
rs2524869946	160129344	single nucleotide variant	ATP1A2 and 1 more	,nonsense (stop gained)	pathogenic				
rs2101989829	160129392	single nucleotide variant	ATP1A2 and 1 more	,nonsense (stop gained)	pathogenic				
rs1651727299	160130210	single nucleotide variant	ATP1A2 and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs1651731153	160130282	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic				
rs121918616	160130283	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				16344534
rs746744495	160130291	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic			A=8.256e-06	
rs1570990484	160130513	single nucleotide variant	ATP1A2 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs886039530	160130547	single nucleotide variant	ATP1A2 and 2 more	,missense variant,synonymous variant	pathogenic				25741868
rs1553245178	160130548	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic				
rs1469902667	160130580	single nucleotide variant	ATP1A2 and 2 more	,nonsense (stop gained),synonymous variant	pathogenic				
rs1414742926	160130586	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs770053423	160134499	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic			A=8.23791e-06	
rs1553245659	160134538	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs28933401	160135246	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				9579893,12953268,16037212,24928127
rs1553245771	160135461	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs140707454	160135469	single nucleotide variant	ATP1A2 and 2 more	,missense variant,synonymous variant	pathogenic	T=0.000199681		T=8.23655e-05	
rs2101995423	160135837	single nucleotide variant	ATP1A2 and 1 more	splice acceptor variant	pathogenic				
rs28933398	160135845	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				12539047
rs1209724722	160135911	single nucleotide variant	ATP1A2 and 3 more	,missense variant	pathogenic				
rs796052277	160135992	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
rs755310507	160136307	single nucleotide variant	ATP1A2 and 3 more	,missense variant,nonsense (stop gained),synonymous variant	pathogenic			A=8.2394e-06	
rs2101995864	160136308	single nucleotide variant	ATP1A2 and 2 more	,missense variant	pathogenic				
rs1553245857	160136370	single nucleotide variant	ATP1A2 and 1 more	,missense variant	pathogenic				
